step,loss
1,0.012540818453999236
2,0.012350069722742774
3,0.0023314586105698254
4,0.005601100929197855
5,0.0004912754302495159
6,6.421680427592946e-05
7,2.528104084831284e-05
8,2.319075872492249e-05
9,3.1351460165751632e-06
10,8.583058459521453e-07
11,2.145765733985172e-07
12,1.7285340447870112e-07
13,5.960463589360643e-08
14,7.7486022931339e-08
15,2.384185560089236e-08
16,1.7881391478624664e-08
17,7.15255588090713e-08
18,2.9802317058624794e-08
19,5.960464122267695e-09
20,1.192092824453539e-08
21,1.7881392366803084e-08
22,1.7881392366803084e-08
23,2.384185471271394e-08
24,1.192092824453539e-08
25,2.9802318834981634e-08
26,1.7881390590446244e-08
27,5.960464122267695e-09
28,0.0
29,5.960464122267695e-09
30,1.7881392366803084e-08
31,3.576278295724933e-08
32,1.7881392366803084e-08
33,2.9802318834981634e-08
34,5.960464122267695e-09
35,2.384185648907078e-08
36,1.192092824453539e-08
37,2.384185471271394e-08
38,3.576278118089249e-08
39,1.192092824453539e-08
40,4.768370942542788e-08
41,1.7881390590446244e-08
42,1.192092824453539e-08
43,2.384185471271394e-08
44,2.384185648907078e-08
45,1.7881392366803084e-08
46,5.960464122267695e-09
47,5.960464122267695e-09
48,1.192092824453539e-08
