Type,Field,total,mismatch_count,accuracy_rate
ADCC,fraud_type,4,2,50.00%
ADCC,police_reference,4,3,25.00%
ADCC,police_team,4,2,50.00%
HSBC Referral,fraud_type,18,4,77.78%
ODFT,fraud_type,4,2,50.00%
Police Letter,fraud_type,12,1,91.67%
Police Letter,police_reference,12,2,83.33%
Police Letter,police_team,12,1,91.67%
Search Warrant,contact_person,6,2,66.67%
Search Warrant,fraud_type,6,6,0.00%
Search Warrant,police_reference,6,0,100.00%
Search Warrant,police_team,6,0,100.00%
Search Warrant,writ_no,6,2,66.67%
UAR,fraud_type,16,16,0.00%
